施設名,施設名（英語）,住所,緯度,経度,電話番号,カテゴリ,対象となる町会・自治会
六義園,Rikugien Gardens,文京区本駒込６丁目16番３号,,,,緊急避難場所,駕籠町会、一般社団法人 大和郷会、吉片町会、浅嘉町会、曙町会、上富士町会、上動五三会、動坂中町会、動坂町会、富士前町会、神明町会、神明上町会、神明西部町会、本駒自治会
東京大学,The University of Tokyo,文京区本郷７丁目一部、弥生１丁目一部,,,,緊急避難場所,"本一町会、本郷二・三丁目町会、本郷同四会、本郷五丁目町会、赤門前町会、春木会、本郷三丁目金助町会、本富士町会、竜岡会、本郷二丁目元一会、本郷二丁目弓二会、
本郷五丁目台町町会、菊坂町会、菊和会、湯島一丁目町会、本郷三丁目南部会、湯島会、新花会、三組町会、三組弥生会、湯島三丁目梅光会、妻恋会、天梅会、天一町会、
天二町会、天三町会、同朋町会、湯島切通町会、両門町会、湯島北町会、森川町会、向丘追分町会、向丘追分東部町会、肴町町会、白山上自治会、地縁法人 西片町会、
蓬莱町会、向丘一丁目中町会、向丘一丁目上町会、東大農学部前自治会、根津宮永町会、根津八重垣町会、藍染町会、根津片町町会、根津宮本町会、向ケ岡弥生町会、
弥生一丁目町会、千駄木二丁目東町会、千駄木二丁目西町会、上千駄木町会、千駄木東林町会、千駄木西林町会、千駄木三丁目南部町会、千駄木三丁目北町会"
後楽園一帯,Korakuen Garden and Vicinity,文京区春日１丁目一部、後楽１丁目一部,,,,緊急避難場所,"初音町町会、富坂一丁目町会、富坂二丁目町会、春日町一・二丁目春睦会、春日町三丁目町会、表町町会、小石川表町会、柳町町会、柳町中央町会、柳町三和会、
南戸崎町会、春日一丁目仲睦会、春日一丁目大門町会、道和町会、後楽町会、第二後楽園アパート、春日礫川町会、本郷一丁目アパート自治会、春日二丁目町会、
第六天町会、武島町会、水道端町会、西江戸川町会、小日水町会、古川松ケ枝町会、関口一丁目南部会、元二親和会、本郷弓一町会、上真砂町会、下真砂町会、中真砂町会、田町町会"
お茶の水女子大学一帯・教育の森公園一帯,"Ochanomizu University and Vicinity,Kyoiku-no-mori Park and Vicinity",文京区大塚２丁目一部、大塚３丁目一部,,,,緊急避難場所,"林町町会、丸山町会、氷川下町会、大原町会、宮下町会、西丸町会、西原町会、大塚一・二丁目町会、文京中央町会、久堅自治会、
久堅町民会、久堅親交会、久堅西町会、小日向台町町会、茗荷谷町会、大塚仲町町会、大塚窪町町会"
護国寺一帯,Gokokuji Temple and Vicinity,文京区大塚５丁目一部,,,,緊急避難場所,豊島ケ岡町会、大塚坂下南町会、大塚坂下北町会、大塚上辻町会、東青柳町会、大塚四丁目協力会、音一文化会、音二町会、音羽三和会
小石川植物園,Koishikawa Botanical Garden,文京区白山３丁目７番１号,,,,緊急避難場所,"八千代町町会、戸崎町町会、指ケ谷町会、白山指ケ谷町会、白山町会、京華通り自治会、白山前町町会、原町町会、原町西町会、東御殿町会、白山御殿町睦会、
上御殿町会、林町南町会、丸山福山町町会、丸山新町町会、"
目白台運動公園付近一帯,Mejirodai Sports Park and Vicinity,文京区関口２丁目一部、目白台１丁目一部,,,,緊急避難場所,"高田老松町会、目白台豊川町会、目白台雑司ケ谷町会、音羽四丁目町会、音羽五丁目町会、音六町会、音羽七和会、音八会、音羽九桜町会、関水町会、
関口町会、目白台二丁目町会、関口二・三丁目町会"
礫川小学校,Rekisen Elementary School,文京区小石川２丁目１３番２号,35.710834,139.747575,03-3811-7276,避難所,富坂一丁目町会、富坂二丁目町会、表町町会、春日町三丁目町会
柳町小学校,Yanagicho Elementary School,文京区小石川１丁目２３番１６号,35.714459,139.750138,03-3811-0068,避難所,初音町町会、小石川表町会、柳町町会、柳町中央町会、柳町三和会、八千代町町会、南戸崎町会
指ケ谷小学校,Sasugaya Elementary School,文京区白山２丁目２８番４号,35.717306,139.750767,03-3811-6005,避難所,戸崎町会、指ケ谷町会、白山指ケ谷町会、白山町会、京華通り自治会
林町小学校,Hayashicho Elementary School,文京区千石２丁目３６番３号,35.724322,139.742248,03-3946-0421,避難所,林町町会、丸山町会、大原町会
明化小学校,Meika Elementary School,文京区千石１丁目１３番９号,35.724833,139.744881,03-3944-0366,避難所,原町町会、宮下町会、西原町会
青柳小学校,Aoyagi Elementary School,文京区大塚５丁目４０番１８号,35.720417,139.725097,03-3947-2471,避難所,豊島ケ岡町会、大塚坂下南町会、大塚坂下北町会、目白台二丁目町会
関口台町小学校,Sekiguchi-daimachi Elementary School,文京区関口２丁目６番１号,35.711867,139.726757,03-3947-2631,避難所,目白台豊川町会、高田老松町会、関口町会、関口二・三丁目町会
小日向台町小学校,Kohinata-daimachi Elementary School,文京区小日向２丁目３番８号,35.713213,139.735631,03-3947-2371,避難所,小日向台町町会、茗荷谷町会
金富小学校,Kanatomi Elementary School,文京区春日２丁目６番１５号,35.710831,139.741619,03-3811-0066,避難所,春日二丁目町会、第六天町会、武島町会、水道端町会、西江戸川町会
窪町小学校,Kubomachi Elementary School,文京区大塚３丁目２番３号,35.718877,139.735629,03-3946-8261,避難所,大塚窪町町会、氷川下町会
大塚小学校,Otsuka Elementary School,文京区大塚４丁目１番７号,35.723729,139.73638,03-3946-3421,避難所,大塚上辻町会、大塚仲町町会、大塚四丁目協力会
湯島小学校,Yushima Elementary School,文京区湯島２丁目２８番１４号,35.706572,139.766568,03-3813-6061,避難所,湯島一丁目町会、湯島会、新花会、三組町会、妻恋会、湯島三丁目梅光会、天梅会、三組弥生会、天一町会、天二町会、天三町会、同朋町会
誠之小学校,Seishi Elementary School,文京区西片２丁目１４番６号,35.717943,139.754029,03-3811-7171,避難所,地縁法人 西片町会、丸山福山町町会、丸山新町町会、向丘一丁目上町会、白山前町町会
根津小学校,Nezu Elementary School,文京区根津１丁目１４番３号,35.718439,139.763222,03-3822-4731,避難所,根津宮永町会、根津八重垣町会、藍染町会、根津片町町会、根津宮本町会、向ヶ岡弥生町会、弥生一丁目町会
千駄木小学校,Sendagi Elementary School,文京区千駄木５丁目４４番２号,35.72914,139.758951,03-3821-7168,避難所,上動五三会、動坂中町会、動坂町会
汐見小学校,Shiomi Elementary School,文京区千駄木２丁目１９番２３号,35.723733,139.760914,03-3827-7566,避難所,上千駄木町会、千駄木二丁目西町会
昭和小学校,Showa Elementary School,文京区本駒込２丁目２８番３１号,35.731554,139.749485,03-3944-0471,避難所,上富士町会、神明町会、一般社団法人大和郷会
駒本小学校,Komamoto Elementary School,文京区向丘２丁目３７番５号,35.724618,139.754577,03-3827-5451,避難所,肴町町会、白山上自治会、蓬莱町会、浅嘉町会
駕籠町小学校,Kagomachi Elementary School,文京区本駒込２丁目２９番６号,35.728362,139.7458,03-3944-1471,避難所,駕籠町会、西丸町会、曙町会
本郷小学校,Hongo Elementary School,文京区本郷４丁目５番１５号,35.708093,139.758136,03-3813-7551,避難所,上真砂町会、下真砂町会、中真砂町会、田町町会、菊坂町会、菊和会、本郷五丁目台町町会、本郷五丁目町会、赤門前町会、本郷同四会、元二親和会
旧元町小学校,Former Motomachi Elementary School,文京区本郷１丁目１番１９号,35.703038,139.757922,,,※旧元町小学校の解体工事に伴い、同校を避難所とする町会（本郷三丁目南部会、元二親和会、本郷二丁目元一会、本一町会）は施設の再整備期間中（令和３年６月１日から令和６年度予定）、本郷小学校及び教育センターへ避難先を変更します。
第一中学校,Daiichi Junior High School,文京区小石川５丁目８番９号,35.718013,139.738682,03-3811-7271,避難所,東御殿町会、白山御殿町睦会、久堅自治会、久堅西町会
第三中学校,Daisan Junior High School,文京区春日１丁目９番３１号,35.709151,139.746671,03-3814-2544,避難所,春日町一・二丁目春睦会、春日一丁目仲睦会、春日一丁目大門町会、道和町会、後楽町会、第二後楽園アパート、春日礫川町会、本郷一丁目アパート自治会
第六中学校,Dairoku Junior High School,文京区向丘１丁目２番２号,35.717074,139.757726,03-3814-6666,避難所,森川町会、向丘追分町会、向丘追分東部町会、向丘一丁目中町会、東大農学部前自治会
第八中学校,Daihachi Junior High School,文京区千駄木２丁目１９番２２号,35.724322,139.761015,03-3821-7128,避難所,千駄木二丁目東町会、千駄木三丁目南部町会
第九中学校,Daiku Junior High School,文京区本駒込３丁目２８番９号,35.729654,139.75278,03-3821-7178,避難所,吉片町会、富士前町会、神明上町会、神明西部町会、本駒自治会
第十中学校,Daiju Junior High School,文京区千石２丁目４０番１７号,35.723516,139.742538,03-3944-0371,避難所,原町西町会、上御殿町会、林町南町会
文林中学校,Bunrin Junior High School,文京区千駄木５丁目２５番１０号,35.728052,139.758572,03-3827-7671,避難所,千駄木東林町会、千駄木西林町会、千駄木三丁目北町会
茗台中学校,Meidai Junior High School,文京区春日２丁目９番５号,35.713539,139.741205,03-3811-2969,避難所,文京中央町会、久堅町民会、久堅親交会
本郷台中学校,Hongodai Junior High School,文京区本郷２丁目３８番２３号,35.706951,139.758938,03-3811-2571,避難所,本郷弓一町会、本郷二丁目弓二会、本郷二・三丁目町会、本郷三丁目金助町会、春木会、本富士町会
音羽中学校,Otowa Junior High School,文京区大塚１丁目９番２４号,35.717217,139.73279,03-3947-2771,避難所,東青柳町会、目白台雑司ケ谷町会、音一文化会、音二町会、音羽三和会、音羽四丁目町会、音羽五丁目町会、大塚一・二丁目町会
文京江戸川橋体育館,Bunkyo Edogawabashi Gymnasium,文京区小日向１丁目７番４号,35.710603,139.73546,03-3945-4008,避難所,音六町会、音羽七和会、音八会、音羽九桜町会、小日水町会、古川松ケ枝町会、関口一丁目南部会、関水町会
教育センター,Education Center,文京区湯島４丁目７番１０号,35.708987,139.76575,03-5800-2591,避難所,湯島切通町会、湯島北町会、竜岡会、両門町会、本郷三丁目南部会、本郷二丁目元一会、本一町会
